rank	games	eco	name	pgn
55	16786	B13	Caro-Kann Defense: Exchange Variation	1. e4 c6 2. d4 d5 3. exd5
56	16634	B22	Sicilian Defense: Alapin Variation	1. e4 c5 2. c3 Nf6 3. e5
57	16336	B30	Sicilian Defense: Old Sicilian	1. e4 c5 2. Nf3 Nc6 3. Nc3
58	16006	A11	English Opening: Caro-Kann Defensive System	1. c4 c6
59	15866	C02	French Defense: Advance Variation	1. e4 e6 2. d4 d5 3. e5
60	15395	A05	King's Indian Attack: Symmetrical Defense	1. Nf3 Nf6 2. g3 g6
61	15290	A10	English Opening: Great Snake Variation	1. c4 g6
62	15150	B03	Alekhine Defense	1. e4 Nf6 2. e5 Nd5 3. d4
63	15038	B01	Scandinavian Defense: Mieses-Kotroc Variation	1. e4 d5 2. exd5 Qxd5 3. Nc3
64	14600	C46	Three Knights Opening	1. e4 e5 2. Nf3 Nc6 3. Nc3
